country,date,demand,type
PL,2017-07-01,100.0,power
PT,2017-07-01,398.0,power
RO,2017-07-01,0.0,power
SE,2017-07-01,0.0,power
SI,2017-07-01,9.0,power
SK,2017-07-01,0.0,power
AT,2017-08-01,69.0,power
BE,2017-08-01,263.3,power
BG,2017-08-01,35.0,power
CY,2017-08-01,0.0,power
CZ,2017-08-01,49.0,power
DE,2017-08-01,682.0,power
DK,2017-08-01,7.0,power
EE,2017-08-01,9.0,power
ES,2017-08-01,690.0,power
EU27_2020,2017-08-01,5698.3,power
FI,2017-08-01,8.0,power
FR,2017-08-01,196.0,power
GR,2017-08-01,345.0,power
HR,2017-08-01,63.0,power
HU,2017-08-01,163.0,power
IE,2017-08-01,0.0,power
IT,2017-08-01,2076.0,power
LT,2017-08-01,5.0,power
LU,2017-08-01,0.0,power
LV,2017-08-01,24.0,power
MT,2017-08-01,36.0,power
NL,2017-08-01,455.0,power
PL,2017-08-01,99.0,power
PT,2017-08-01,415.0,power
RO,2017-08-01,0.0,power
SE,2017-08-01,0.0,power
SI,2017-08-01,9.0,power
SK,2017-08-01,0.0,power
AT,2017-09-01,78.0,power
BE,2017-09-01,272.9,power
BG,2017-09-01,34.0,power
CY,2017-09-01,0.0,power
CZ,2017-09-01,39.0,power
DE,2017-09-01,880.0,power
DK,2017-09-01,9.0,power
EE,2017-09-01,9.0,power
ES,2017-09-01,611.0,power
EU27_2020,2017-09-01,5642.9,power
FI,2017-09-01,11.0,power
FR,2017-09-01,306.0,power
GR,2017-09-01,268.0,power
HR,2017-09-01,46.0,power
HU,2017-09-01,147.0,power
IE,2017-09-01,0.0,power
IT,2017-09-01,1800.0,power
LT,2017-09-01,9.0,power
LU,2017-09-01,0.0,power
LV,2017-09-01,25.0,power
MT,2017-09-01,42.0,power
NL,2017-09-01,596.0,power
PL,2017-09-01,112.0,power
PT,2017-09-01,340.0,power
RO,2017-09-01,0.0,power
SE,2017-09-01,0.0,power
SI,2017-09-01,8.0,power
SK,2017-09-01,0.0,power
AT,2017-10-01,158.0,power
BE,2017-10-01,395.6,power
BG,2017-10-01,53.0,power
CY,2017-10-01,0.0,power
CZ,2017-10-01,38.0,power
DE,2017-10-01,977.0,power
DK,2017-10-01,5.0,power
EE,2017-10-01,21.0,power
ES,2017-10-01,755.0,power
EU27_2020,2017-10-01,6846.6,power
FI,2017-10-01,22.0,power
FR,2017-10-01,570.0,power
GR,2017-10-01,243.0,power
HR,2017-10-01,68.0,power
HU,2017-10-01,194.0,power
IE,2017-10-01,0.0,power
IT,2017-10-01,2119.0,power
LT,2017-10-01,25.0,power
LU,2017-10-01,0.0,power
LV,2017-10-01,50.0,power
MT,2017-10-01,35.0,power
NL,2017-10-01,659.0,power
PL,2017-10-01,170.0,power
PT,2017-10-01,279.0,power
RO,2017-10-01,0.0,power
SE,2017-10-01,0.0,power
SI,2017-10-01,10.0,power
SK,2017-10-01,0.0,power
AT,2017-11-01,244.0,power
BE,2017-11-01,450.1,power
BG,2017-11-01,102.0,power
CY,2017-11-01,0.0,power
CZ,2017-11-01,62.0,power
DE,2017-11-01,1467.0,power
DK,2017-11-01,11.0,power
EE,2017-11-01,26.0,power
ES,2017-11-01,889.0,power
EU27_2020,2017-11-01,8576.1,power
FI,2017-11-01,27.0,power
FR,2017-11-01,572.0,power
GR,2017-11-01,304.0,power
HR,2017-11-01,75.0,power
HU,2017-11-01,318.0,power
IE,2017-11-01,0.0,power
IT,2017-11-01,2566.0,power
LT,2017-11-01,32.0,power
LU,2017-11-01,0.0,power
LV,2017-11-01,57.0,power
MT,2017-11-01,19.0,power
NL,2017-11-01,844.0,power
PL,2017-11-01,178.0,power
PT,2017-11-01,319.0,power
RO,2017-11-01,0.0,power
SE,2017-11-01,0.0,power
SI,2017-11-01,14.0,power
SK,2017-11-01,0.0,power
AT,2017-12-01,233.0,power
BE,2017-12-01,415.4,power
BG,2017-12-01,131.0,power
CY,2017-12-01,0.0,power
CZ,2017-12-01,41.0,power
DE,2017-12-01,1443.0,power
DK,2017-12-01,16.0,power
EE,2017-12-01,31.0,power
ES,2017-12-01,608.0,power
EU27_2020,2017-12-01,7825.4,power
FI,2017-12-01,55.0,power
FR,2017-12-01,480.0,power
GR,2017-12-01,291.0,power
HR,2017-12-01,55.0,power
HU,2017-12-01,303.0,power
IE,2017-12-01,0.0,power
IT,2017-12-01,2333.0,power
LT,2017-12-01,37.0,power
LU,2017-12-01,0.0,power
LV,2017-12-01,57.0,power
MT,2017-12-01,27.0,power
NL,2017-12-01,804.0,power
PL,2017-12-01,190.0,power
PT,2017-12-01,261.0,power
RO,2017-12-01,0.0,power
SE,2017-12-01,0.0,power
SI,2017-12-01,14.0,power
SK,2017-12-01,0.0,power
AT,2018-01-01,258.0,power
BE,2018-01-01,316.0,power
BG,2018-01-01,137.0,power
CY,2018-01-01,0.0,power
CZ,2018-01-01,39.0,power
DE,2018-01-01,1393.0,power
DK,2018-01-01,43.0,power
EE,2018-01-01,40.0,power
ES,2018-01-01,460.0,power
EU27_2020,2018-01-01,7108.0,power
FI,2018-01-01,68.0,power
FR,2018-01-01,168.0,power
GR,2018-01-01,271.0,power
HR,2018-01-01,63.0,power
HU,2018-01-01,296.0,power
IE,2018-01-01,0.0,power
IT,2018-01-01,2126.0,power
LT,2018-01-01,42.0,power
LU,2018-01-01,0.0,power
LV,2018-01-01,81.0,power
MT,2018-01-01,21.0,power
NL,2018-01-01,754.0,power
PL,2018-01-01,194.0,power
PT,2018-01-01,322.0,power
RO,2018-01-01,0.0,power
SE,2018-01-01,0.0,power
SI,2018-01-01,16.0,power
SK,2018-01-01,0.0,power
AT,2018-02-01,289.0,power
BE,2018-02-01,373.0,power
BG,2018-02-01,128.0,power
CY,2018-02-01,0.0,power
CZ,2018-02-01,55.0,power
DE,2018-02-01,1639.0,power
DK,2018-02-01,41.0,power
EE,2018-02-01,42.0,power
ES,2018-02-01,393.0,power
EU27_2020,2018-02-01,7580.0,power
FI,2018-02-01,82.0,power
FR,2018-02-01,460.0,power
GR,2018-02-01,236.0,power
HR,2018-02-01,67.0,power
HU,2018-02-01,302.0,power
IE,2018-02-01,0.0,power
IT,2018-02-01,2077.0,power
LT,2018-02-01,42.0,power
LU,2018-02-01,0.0,power
LV,2018-02-01,107.0,power
MT,2018-02-01,28.0,power
NL,2018-02-01,763.0,power
PL,2018-02-01,187.0,power
PT,2018-02-01,252.0,power
RO,2018-02-01,0.0,power
SE,2018-02-01,0.0,power
SI,2018-02-01,17.0,power
SK,2018-02-01,0.0,power
AT,2018-03-01,225.0,power
BE,2018-03-01,350.1,power
BG,2018-03-01,121.0,power
CY,2018-03-01,0.0,power
CZ,2018-03-01,38.0,power
DE,2018-03-01,1403.0,power
DK,2018-03-01,39.0,power
EE,2018-03-01,43.0,power
ES,2018-03-01,297.0,power
EU27_2020,2018-03-01,6545.1,power
FI,2018-03-01,85.0,power
FR,2018-03-01,319.0,power
GR,2018-03-01,171.0,power
HR,2018-03-01,39.0,power
HU,2018-03-01,251.0,power
IE,2018-03-01,0.0,power
IT,2018-03-01,1916.0,power
LT,2018-03-01,43.0,power
LU,2018-03-01,0.0,power
LV,2018-03-01,96.0,power
MT,2018-03-01,19.0,power
NL,2018-03-01,723.0,power
PL,2018-03-01,192.0,power
PT,2018-03-01,160.0,power
RO,2018-03-01,0.0,power
SE,2018-03-01,0.0,power
SI,2018-03-01,15.0,power
SK,2018-03-01,0.0,power
AT,2018-04-01,47.0,power
BE,2018-04-01,240.2,power
BG,2018-04-01,59.0,power
CY,2018-04-01,0.0,power
CZ,2018-04-01,15.0,power
