country,date,demand,type
AT,2019-12-27,43178700.0,power
AT,2019-12-28,41973200.0,power
AT,2019-12-29,37453900.0,power
AT,2019-12-30,43140400.0,power
AT,2019-12-31,40331800.0,power
AT,2020-01-01,39856500.0,power
AT,2020-01-02,45229400.0,power
AT,2020-01-03,56847700.00000001,power
AT,2020-01-04,35778700.0,power
AT,2020-01-05,44214800.0,power
AT,2020-01-06,63434200.0,power
AT,2020-01-07,62194100.0,power
AT,2020-01-08,54177299.99999999,power
AT,2020-01-09,70030900.0,power
AT,2020-01-10,64978400.0,power
AT,2020-01-11,45926100.0,power
AT,2020-01-12,51199400.0,power
AT,2020-01-13,62646200.0,power
AT,2020-01-14,62398000.0,power
AT,2020-01-15,65474100.0,power
AT,2020-01-16,74008000.0,power
AT,2020-01-17,61794800.0,power
AT,2020-01-18,56094600.0,power
AT,2020-01-19,47828400.0,power
AT,2020-01-20,60578200.0,power
AT,2020-01-21,67787300.0,power
AT,2020-01-22,61228600.0,power
AT,2020-01-23,62162900.0,power
AT,2020-01-24,58865300.0,power
AT,2020-01-25,50781000.0,power
AT,2020-01-26,61390900.0,power
AT,2020-01-27,71783600.0,power
AT,2020-01-28,75501800.0,power
AT,2020-01-29,65989700.0,power
AT,2020-01-30,73006200.0,power
AT,2020-01-31,50357500.0,power
AT,2020-02-01,33763000.0,power
AT,2020-02-02,24988400.0,power
AT,2020-02-03,57767100.0,power
AT,2020-02-04,61416800.0,power
AT,2020-02-05,44456600.0,power
AT,2020-02-06,47446500.0,power
AT,2020-02-07,53060800.0,power
AT,2020-02-08,44715300.0,power
AT,2020-02-09,24459400.0,power
AT,2020-02-10,26105800.0,power
AT,2020-02-11,25273100.000000004,power
AT,2020-02-12,23660900.0,power
AT,2020-02-13,36339400.0,power
AT,2020-02-14,34466500.0,power
AT,2020-02-15,28782900.0,power
AT,2020-02-16,18958000.0,power
AT,2020-02-17,30028700.0,power
AT,2020-02-18,30402600.0,power
AT,2020-02-19,29378100.0,power
AT,2020-02-20,32515000.0,power
AT,2020-02-21,21632100.0,power
AT,2020-02-22,18348700.0,power
AT,2020-02-23,15020800.0,power
AT,2020-02-24,34553300.0,power
AT,2020-02-25,31604600.0,power
AT,2020-02-26,43704400.0,power
AT,2020-02-27,47025700.0,power
AT,2020-02-28,45009800.0,power
AT,2020-02-29,29921200.0,power
AT,2020-03-01,27154900.0,power
AT,2020-03-02,31904400.0,power
AT,2020-03-03,34324500.0,power
AT,2020-03-04,39952700.0,power
AT,2020-03-05,32732200.0,power
AT,2020-03-06,30872900.0,power
AT,2020-03-07,34576700.0,power
AT,2020-03-08,26591400.0,power
AT,2020-03-09,33579100.0,power
AT,2020-03-10,28918500.0,power
AT,2020-03-11,29335900.0,power
AT,2020-03-12,33855400.0,power
AT,2020-03-13,29098700.0,power
AT,2020-03-14,34399800.0,power
AT,2020-03-15,15458900.0,power
AT,2020-03-16,31455000.0,power
AT,2020-03-17,35887300.0,power
AT,2020-03-18,34736500.0,power
AT,2020-03-19,33758800.0,power
AT,2020-03-20,30130000.0,power
AT,2020-03-21,13100200.0,power
AT,2020-03-22,16110199.999999998,power
AT,2020-03-23,27284400.0,power
AT,2020-03-24,34353200.0,power
AT,2020-03-25,38825500.0,power
AT,2020-03-26,40783600.0,power
AT,2020-03-27,37848700.0,power
AT,2020-03-28,26261600.0,power
AT,2020-03-29,9190600.0,power
AT,2020-03-30,32836100.0,power
AT,2020-03-31,40016400.0,power
AT,2020-04-01,26710700.0,power
AT,2020-04-02,21112200.0,power
AT,2020-04-03,11374700.0,power
AT,2020-04-04,7906200.0,power
AT,2020-04-05,26744400.0,power
AT,2020-04-06,19731100.0,power
AT,2020-04-07,16454099.999999998,power
AT,2020-04-08,16014000.0,power
AT,2020-04-09,28627800.0,power
AT,2020-04-10,19008700.0,power
AT,2020-04-11,11604900.0,power
AT,2020-04-12,6473500.0,power
AT,2020-04-13,206300.0,power
AT,2020-04-14,11587300.000000002,power
AT,2020-04-15,31311200.0,power
AT,2020-04-16,11248800.0,power
AT,2020-04-17,8761700.0,power
AT,2020-04-18,11768300.0,power
AT,2020-04-19,6009100.0,power
AT,2020-04-20,18823700.0,power
AT,2020-04-21,10446300.0,power
AT,2020-04-22,17564400.0,power
AT,2020-04-23,9606600.0,power
AT,2020-04-24,10141900.0,power
AT,2020-04-25,7153900.0,power
AT,2020-04-26,8968100.0,power
AT,2020-04-27,10189200.0,power
AT,2020-04-28,9492400.0,power
AT,2020-04-29,9278200.0,power
AT,2020-04-30,6936300.0,power
AT,2020-05-01,0.0,power
AT,2020-05-02,180299.99999999997,power
AT,2020-05-03,1838900.0,power
AT,2020-05-04,7273100.0,power
AT,2020-05-05,2526300.0,power
AT,2020-05-06,2631400.0,power
AT,2020-05-07,2384900.0,power
AT,2020-05-08,6851800.0,power
AT,2020-05-09,1796900.0,power
AT,2020-05-10,342000.0,power
AT,2020-05-11,378900.0,power
AT,2020-05-12,2447600.0,power
AT,2020-05-13,5793000.0,power
AT,2020-05-14,2489300.0,power
AT,2020-05-15,2642400.0,power
AT,2020-05-16,1892900.0,power
AT,2020-05-17,308700.0,power
AT,2020-05-18,9798500.0,power
AT,2020-05-19,14161000.0,power
AT,2020-05-20,1784199.9999999998,power
AT,2020-05-21,0.0,power
AT,2020-05-22,0.0,power
AT,2020-05-23,0.0,power
AT,2020-05-24,81000.0,power
AT,2020-05-25,1922400.0,power
AT,2020-05-26,4003400.0,power
AT,2020-05-27,2112000.0,power
AT,2020-05-28,5802500.0,power
AT,2020-05-29,2889300.0,power
AT,2020-05-30,351600.0,power
AT,2020-05-31,0.0,power
AT,2020-06-01,10088600.0,power
AT,2020-06-02,9143600.0,power
AT,2020-06-03,22591800.0,power
AT,2020-06-04,3036299.9999999995,power
AT,2020-06-05,8899400.0,power
AT,2020-06-06,0.0,power
AT,2020-06-07,0.0,power
AT,2020-06-08,129800.00000000001,power
AT,2020-06-09,5583000.0,power
AT,2020-06-10,3628600.0,power
AT,2020-06-11,0.0,power
AT,2020-06-12,0.0,power
AT,2020-06-13,0.0,power
AT,2020-06-14,0.0,power
AT,2020-06-15,1849000.0,power
AT,2020-06-16,125500.0,power
AT,2020-06-17,4793700.0,power
AT,2020-06-18,142700.0,power
AT,2020-06-19,133500.0,power
AT,2020-06-20,43400.0,power
AT,2020-06-21,31300.0,power
AT,2020-06-22,221700.0,power
AT,2020-06-23,141900.0,power
AT,2020-06-24,6722400.000000001,power
AT,2020-06-25,2732100.0,power
AT,2020-06-26,149600.0,power
AT,2020-06-27,33500.0,power
AT,2020-06-28,2831000.0,power
AT,2020-06-29,8225299.999999999,power
AT,2020-06-30,2230900.0,power
AT,2020-07-01,11593300.0,power
AT,2020-07-02,14247300.0,power
AT,2020-07-03,9755600.0,power
AT,2020-07-04,0.0,power
AT,2020-07-05,0.0,power
AT,2020-07-06,15677500.0,power
AT,2020-07-07,10561600.0,power
AT,2020-07-08,23014200.0,power
AT,2020-07-09,31772000.0,power
AT,2020-07-10,17660400.0,power
AT,2020-07-11,10835500.0,power
AT,2020-07-12,8878000.0,power
AT,2020-07-13,11838700.0,power
AT,2020-07-14,14648300.0,power
AT,2020-07-15,18449200.0,power
AT,2020-07-16,15717900.0,power
AT,2020-07-17,11089200.0,power
AT,2020-07-18,10720900.0,power
