country,type,year,month,demand,source,country_contributions
GR,total,2023.0,8.0,423.52,eurostat,
GR,total,2023.0,9.0,411.44,eurostat,
GR,total,2023.0,10.0,400.88,eurostat,
GR,total,2023.0,11.0,339.78,eurostat,
GR,total,2023.0,12.0,449.82,eurostat,
GR,total,2024.0,1.0,560.23,eurostat,
GR,total,2024.0,2.0,452.9,eurostat,
GR,total,2024.0,3.0,490.42,eurostat,
GR,total,2024.0,4.0,390.97,eurostat,
GR,total,2024.0,5.0,459.62,eurostat,
GR,total,2024.0,6.0,499.29,eurostat,
GR,total,2024.0,7.0,575.75,eurostat,
GR,total,2024.0,8.0,532.62,eurostat,
GR,total,2024.0,9.0,452.4,eurostat,
GR,total,2024.0,10.0,436.5,eurostat,
GR,total,2024.0,11.0,619.25,eurostat,
GR,total,2024.0,12.0,659.48,eurostat,
GR,total,2025.0,1.0,717.11,eurostat,
GR,total,2025.0,2.0,724.46,eurostat,
GR,total,2025.0,3.0,488.12,eurostat,
GR,total,2025.0,4.0,364.87,eurostat,
GR,total,2025.0,5.0,394.63,eurostat,
GR,total,2025.0,6.0,507.36,eurostat,
GR,total,2025.0,7.0,588.13,eurostat,
GR,total,2025.0,8.0,489.03,eurostat,
GR,total,2025.0,9.0,457.59,eurostat,
GR,total,2025.0,10.0,521.39,eurostat,
GR,total,2025.0,11.0,504.1,eurostat,
HU,household,2019.0,1.0,14.82,entsog,
HU,household,2019.0,2.0,10.82,entsog,
HU,household,2019.0,3.0,8.4,entsog,
HU,household,2019.0,4.0,5.28,entsog,
HU,household,2019.0,5.0,4.53,entsog,
HU,household,2019.0,6.0,2.25,entsog,
HU,household,2019.0,7.0,2.41,entsog,
HU,household,2019.0,8.0,2.37,entsog,
HU,household,2019.0,9.0,3.01,entsog,
HU,household,2019.0,10.0,5.73,entsog,
HU,household,2019.0,11.0,8.36,entsog,
HU,household,2019.0,12.0,11.93,entsog,
HU,household,2020.0,1.0,14.85,entsog,
HU,household,2020.0,2.0,10.6,entsog,
HU,household,2020.0,3.0,9.56,entsog,
