date,country,type,year,month,demand,source,country_contributions
2016-10-01,DE,total,2016,10,7189.0,eurostat,
2016-10-01,DK,total,2016,10,267.0,eurostat,
2016-10-01,EE,total,2016,10,46.0,eurostat,
2016-10-01,ES,total,2016,10,2407.0,eurostat,
2016-10-01,EU27_2020,total,2016,10,32328.0,eurostat,
2016-10-01,FI,total,2016,10,160.0,eurostat,
2016-10-01,FR,total,2016,10,3605.0,eurostat,
2016-10-01,GR,total,2016,10,374.0,eurostat,
2016-10-01,HR,total,2016,10,271.0,eurostat,
2016-10-01,HU,total,2016,10,840.0,eurostat,
2016-10-01,IE,total,2016,10,426.0,eurostat,
2016-10-01,IT,total,2016,10,5635.0,eurostat,
2016-10-01,LT,total,2016,10,212.0,eurostat,
2016-10-01,LU,total,2016,10,66.0,eurostat,
2016-10-01,LV,total,2016,10,139.0,eurostat,
2016-10-01,MT,total,2016,10,0.0,eurostat,
2016-10-01,NL,total,2016,10,3549.0,eurostat,
2016-10-01,PL,total,2016,10,1650.0,eurostat,
2016-10-01,PT,total,2016,10,519.0,eurostat,
2016-10-01,RO,total,2016,10,1046.0,eurostat,
2016-10-01,SE,total,2016,10,64.0,eurostat,
2016-10-01,SI,total,2016,10,73.0,eurostat,
2016-10-01,SK,total,2016,10,383.0,eurostat,
2016-11-01,AT,total,2016,11,1008.0,eurostat,
2016-11-01,BE,total,2016,11,1887.0,eurostat,
2016-11-01,BG,total,2016,11,334.0,eurostat,
2016-11-01,CY,total,2016,11,0.0,eurostat,
2016-11-01,CZ,total,2016,11,999.0,eurostat,
2016-11-01,DE,total,2016,11,10116.0,eurostat,
2016-11-01,DK,total,2016,11,390.0,eurostat,
2016-11-01,EE,total,2016,11,59.0,eurostat,
2016-11-01,ES,total,2016,11,2890.0,eurostat,
2016-11-01,EU27_2020,total,2016,11,42086.0,eurostat,
2016-11-01,FI,total,2016,11,276.0,eurostat,
2016-11-01,FR,total,2016,11,5043.0,eurostat,
2016-11-01,GR,total,2016,11,386.0,eurostat,
2016-11-01,HR,total,2016,11,301.0,eurostat,
2016-11-01,HU,total,2016,11,1130.0,eurostat,
2016-11-01,IE,total,2016,11,489.0,eurostat,
2016-11-01,IT,total,2016,11,7463.0,eurostat,
2016-11-01,LT,total,2016,11,89.0,eurostat,
2016-11-01,LU,total,2016,11,84.0,eurostat,
2016-11-01,LV,total,2016,11,183.0,eurostat,
2016-11-01,MT,total,2016,11,0.0,eurostat,
2016-11-01,NL,total,2016,11,4535.0,eurostat,
2016-11-01,PL,total,2016,11,1923.0,eurostat,
2016-11-01,PT,total,2016,11,502.0,eurostat,
2016-11-01,RO,total,2016,11,1302.0,eurostat,
2016-11-01,SE,total,2016,11,106.0,eurostat,
2016-11-01,SI,total,2016,11,89.0,eurostat,
2016-11-01,SK,total,2016,11,502.0,eurostat,
2016-12-01,AT,total,2016,12,1210.0,eurostat,
2016-12-01,BE,total,2016,12,2137.0,eurostat,
2016-12-01,BG,total,2016,12,405.0,eurostat,
2016-12-01,CY,total,2016,12,0.0,eurostat,
2016-12-01,CZ,total,2016,12,1198.0,eurostat,
2016-12-01,DE,total,2016,12,11207.0,eurostat,
2016-12-01,DK,total,2016,12,362.0,eurostat,
2016-12-01,EE,total,2016,12,61.0,eurostat,
2016-12-01,ES,total,2016,12,3009.0,eurostat,
2016-12-01,EU27_2020,total,2016,12,48929.0,eurostat,
2016-12-01,FI,total,2016,12,278.0,eurostat,
2016-12-01,FR,total,2016,12,6116.0,eurostat,
2016-12-01,GR,total,2016,12,553.0,eurostat,
2016-12-01,HR,total,2016,12,388.0,eurostat,
2016-12-01,HU,total,2016,12,1485.0,eurostat,
2016-12-01,IE,total,2016,12,453.0,eurostat,
2016-12-01,IT,total,2016,12,9438.0,eurostat,
2016-12-01,LT,total,2016,12,259.0,eurostat,
2016-12-01,LU,total,2016,12,95.0,eurostat,
2016-12-01,LV,total,2016,12,162.0,eurostat,
2016-12-01,MT,total,2016,12,0.0,eurostat,
2016-12-01,NL,total,2016,12,5032.0,eurostat,
2016-12-01,PL,total,2016,12,2201.0,eurostat,
2016-12-01,PT,total,2016,12,509.0,eurostat,
2016-12-01,RO,total,2016,12,1492.0,eurostat,
2016-12-01,SE,total,2016,12,111.0,eurostat,
2016-12-01,SI,total,2016,12,110.0,eurostat,
2016-12-01,SK,total,2016,12,658.0,eurostat,
2017-01-01,AT,total,2017,1,1574.0,eurostat,
2017-01-01,BE,total,2017,1,2518.2,eurostat,
2017-01-01,BG,total,2017,1,469.0,eurostat,
2017-01-01,CY,total,2017,1,0.0,eurostat,
2017-01-01,CZ,total,2017,1,1480.0,eurostat,
2017-01-01,DE,total,2017,1,13392.0,eurostat,
2017-01-01,DK,total,2017,1,431.0,eurostat,
2017-01-01,EE,total,2017,1,70.0,eurostat,
2017-01-01,ES,total,2017,1,3422.0,eurostat,
2017-01-01,EU27_2020,total,2017,1,57741.2,eurostat,
2017-01-01,FI,total,2017,1,316.0,eurostat,
2017-01-01,FR,total,2017,1,7061.0,eurostat,
2017-01-01,GR,total,2017,1,637.0,eurostat,
2017-01-01,HR,total,2017,1,460.0,eurostat,
2017-01-01,HU,total,2017,1,1897.0,eurostat,
2017-01-01,IE,total,2017,1,503.0,eurostat,
2017-01-01,IT,total,2017,1,11141.0,eurostat,
2017-01-01,LT,total,2017,1,274.0,eurostat,
2017-01-01,LU,total,2017,1,115.0,eurostat,
2017-01-01,LV,total,2017,1,199.0,eurostat,
2017-01-01,MT,total,2017,1,3.0,eurostat,
2017-01-01,NL,total,2017,1,5929.0,eurostat,
2017-01-01,PL,total,2017,1,2512.0,eurostat,
2017-01-01,PT,total,2017,1,511.0,eurostat,
2017-01-01,RO,total,2017,1,1754.0,eurostat,
2017-01-01,SE,total,2017,1,92.0,eurostat,
2017-01-01,SI,total,2017,1,135.0,eurostat,
2017-01-01,SK,total,2017,1,846.0,eurostat,
2017-02-01,AT,total,2017,2,1093.0,eurostat,
2017-02-01,BE,total,2017,2,1859.1,eurostat,
2017-02-01,BG,total,2017,2,363.0,eurostat,
2017-02-01,CY,total,2017,2,0.0,eurostat,
2017-02-01,CZ,total,2017,2,1039.0,eurostat,
2017-02-01,DE,total,2017,2,9227.0,eurostat,
2017-02-01,DK,total,2017,2,378.0,eurostat,
2017-02-01,EE,total,2017,2,64.0,eurostat,
2017-02-01,ES,total,2017,2,2603.0,eurostat,
2017-02-01,EU27_2020,total,2017,2,42015.1,eurostat,
2017-02-01,FI,total,2017,2,281.0,eurostat,
2017-02-01,FR,total,2017,2,4845.0,eurostat,
2017-02-01,GR,total,2017,2,436.0,eurostat,
2017-02-01,HR,total,2017,2,318.0,eurostat,
2017-02-01,HU,total,2017,2,1234.0,eurostat,
2017-02-01,IE,total,2017,2,418.0,eurostat,
2017-02-01,IT,total,2017,2,8078.0,eurostat,
2017-02-01,LT,total,2017,2,243.0,eurostat,
2017-02-01,LU,total,2017,2,84.0,eurostat,
2017-02-01,LV,total,2017,2,176.0,eurostat,
2017-02-01,MT,total,2017,2,9.0,eurostat,
2017-02-01,NL,total,2017,2,4536.0,eurostat,
2017-02-01,PL,total,2017,2,2075.0,eurostat,
2017-02-01,PT,total,2017,2,488.0,eurostat,
2017-02-01,RO,total,2017,2,1394.0,eurostat,
2017-02-01,SE,total,2017,2,83.0,eurostat,
2017-02-01,SI,total,2017,2,97.0,eurostat,
2017-02-01,SK,total,2017,2,594.0,eurostat,
2017-03-01,AT,total,2017,3,861.0,eurostat,
2017-03-01,BE,total,2017,3,1638.9,eurostat,
2017-03-01,BG,total,2017,3,315.0,eurostat,
2017-03-01,CY,total,2017,3,0.0,eurostat,
