country,date,demand,type,source
BE,2016-11-01,1887.0,total,eurostat
BG,2016-11-01,334.0,total,eurostat
CY,2016-11-01,0.0,total,eurostat
CZ,2016-11-01,999.0,total,eurostat
DE,2016-11-01,10116.0,total,eurostat
DK,2016-11-01,390.0,total,eurostat
EE,2016-11-01,59.0,total,eurostat
ES,2016-11-01,2890.0,total,eurostat
EU27_2020,2016-11-01,42086.0,total,eurostat
FI,2016-11-01,276.0,total,eurostat
FR,2016-11-01,5043.0,total,eurostat
GR,2016-11-01,386.0,total,eurostat
HR,2016-11-01,301.0,total,eurostat
HU,2016-11-01,1130.0,total,eurostat
IE,2016-11-01,489.0,total,eurostat
IT,2016-11-01,7463.0,total,eurostat
LT,2016-11-01,89.0,total,eurostat
LU,2016-11-01,84.0,total,eurostat
LV,2016-11-01,183.0,total,eurostat
MT,2016-11-01,0.0,total,eurostat
NL,2016-11-01,4535.0,total,eurostat
PL,2016-11-01,1923.0,total,eurostat
PT,2016-11-01,502.0,total,eurostat
RO,2016-11-01,1302.0,total,eurostat
SE,2016-11-01,106.0,total,eurostat
SI,2016-11-01,89.0,total,eurostat
SK,2016-11-01,502.0,total,eurostat
AT,2016-12-01,1210.0,total,eurostat
BE,2016-12-01,2137.0,total,eurostat
BG,2016-12-01,405.0,total,eurostat
CY,2016-12-01,0.0,total,eurostat
CZ,2016-12-01,1198.0,total,eurostat
DE,2016-12-01,11207.0,total,eurostat
DK,2016-12-01,362.0,total,eurostat
EE,2016-12-01,61.0,total,eurostat
ES,2016-12-01,3009.0,total,eurostat
EU27_2020,2016-12-01,48929.0,total,eurostat
FI,2016-12-01,278.0,total,eurostat
FR,2016-12-01,6116.0,total,eurostat
GR,2016-12-01,553.0,total,eurostat
HR,2016-12-01,388.0,total,eurostat
HU,2016-12-01,1485.0,total,eurostat
IE,2016-12-01,453.0,total,eurostat
IT,2016-12-01,9438.0,total,eurostat
LT,2016-12-01,259.0,total,eurostat
LU,2016-12-01,95.0,total,eurostat
