country,date,demand,type,source
AT,30/12/2019,357447516.9,total,aggm
AT,31/12/2019,351123608.6,total,aggm
AT,01/01/2020,397982189.1,total,aggm
AT,02/01/2020,435579244.1,total,aggm
AT,03/01/2020,354683762.7,total,aggm
AT,04/01/2020,377980646.7,total,aggm
AT,05/01/2020,438993630.5,total,aggm
AT,06/01/2020,467786802.7,total,aggm
AT,07/01/2020,431960344.4,total,aggm
AT,08/01/2020,452387268.1,total,aggm
AT,09/01/2020,450953474.7,total,aggm
AT,10/01/2020,375719969.2,total,aggm
AT,11/01/2020,400593415.5,total,aggm
AT,12/01/2020,453389846.9,total,aggm
AT,13/01/2020,468043343.7,total,aggm
AT,14/01/2020,476043893.9,total,aggm
AT,15/01/2020,485642744.2,total,aggm
AT,16/01/2020,460854044.5,total,aggm
AT,17/01/2020,419775359,total,aggm
AT,18/01/2020,394059419.3,total,aggm
AT,19/01/2020,453134234.9,total,aggm
AT,20/01/2020,480822749.9,total,aggm
AT,21/01/2020,468525138.6,total,aggm
AT,22/01/2020,458787439.7,total,aggm
AT,23/01/2020,462518465.7,total,aggm
AT,24/01/2020,426668105.4,total,aggm
AT,25/01/2020,431884997.1,total,aggm
AT,26/01/2020,470984252.9,total,aggm
AT,27/01/2020,473727160.4,total,aggm
AT,28/01/2020,451587261.7,total,aggm
AT,29/01/2020,448597586.3,total,aggm
AT,30/01/2020,355644215.6,total,aggm
AT,31/01/2020,283295550.3,total,aggm
AT,01/02/2020,262552679.3,total,aggm
AT,02/02/2020,364147621.3,total,aggm
AT,03/02/2020,399871585.8,total,aggm
AT,04/02/2020,397507509.3,total,aggm
AT,05/02/2020,411450593.1,total,aggm
AT,06/02/2020,413815008.2,total,aggm
AT,07/02/2020,378090673.7,total,aggm
AT,08/02/2020,337177532.3,total,aggm
AT,09/02/2020,338444671.8,total,aggm
AT,10/02/2020,339031558.2,total,aggm
AT,11/02/2020,351679559.7,total,aggm
AT,12/02/2020,371569982.4,total,aggm
AT,13/02/2020,351448384.5,total,aggm
AT,14/02/2020,309136383.5,total,aggm
AT,15/02/2020,285582746,total,aggm
AT,16/02/2020,319312942.2,total,aggm
AT,17/02/2020,317024682.9,total,aggm
AT,18/02/2020,338157816.9,total,aggm
AT,19/02/2020,345751567.2,total,aggm
AT,20/02/2020,327652262,total,aggm
AT,21/02/2020,284476408.2,total,aggm
AT,22/02/2020,245262479.3,total,aggm
AT,23/02/2020,312021912.7,total,aggm
AT,24/02/2020,304500085.6,total,aggm
AT,25/02/2020,355188900.6,total,aggm
AT,26/02/2020,371251586.7,total,aggm
AT,27/02/2020,377997084.4,total,aggm
AT,28/02/2020,317988331.8,total,aggm
AT,29/02/2020,285904408.8,total,aggm
AT,01/03/2020,306065679.2,total,aggm
AT,02/03/2020,325116305.9,total,aggm
AT,03/03/2020,349997308.3,total,aggm
AT,04/03/2020,333349556.5,total,aggm
AT,05/03/2020,317514262.4,total,aggm
AT,06/03/2020,307794254.9,total,aggm
AT,07/03/2020,290304278,total,aggm
AT,08/03/2020,332902903.1,total,aggm
AT,09/03/2020,307819623.2,total,aggm
AT,10/03/2020,277696061,total,aggm
AT,11/03/2020,267690398.6,total,aggm
AT,12/03/2020,282990392.9,total,aggm
AT,13/03/2020,289843007.9,total,aggm
AT,14/03/2020,259878953.6,total,aggm
AT,15/03/2020,297857618.2,total,aggm
AT,16/03/2020,288741381.2,total,aggm
AT,17/03/2020,261013633.4,total,aggm
AT,18/03/2020,252541259.1,total,aggm
AT,19/03/2020,237686110.3,total,aggm
AT,20/03/2020,236208970.8,total,aggm
AT,21/03/2020,280249915.5,total,aggm
AT,22/03/2020,344542021.4,total,aggm
AT,23/03/2020,356101036,total,aggm
AT,24/03/2020,365829514.4,total,aggm
AT,25/03/2020,351102653.7,total,aggm
AT,26/03/2020,300156214.5,total,aggm
AT,27/03/2020,245023603.4,total,aggm
AT,28/03/2020,218716302.7,total,aggm
AT,29/03/2020,323822853,total,aggm
AT,30/03/2020,358084986.8,total,aggm
AT,31/03/2020,320372168.2,total,aggm
AT,01/04/2020,285230436.5,total,aggm
AT,02/04/2020,240462549.3,total,aggm
AT,03/04/2020,205555839,total,aggm
AT,04/04/2020,240182590,total,aggm
AT,05/04/2020,229322423.7,total,aggm
AT,06/04/2020,210451071.6,total,aggm
AT,07/04/2020,201646037.8,total,aggm
AT,08/04/2020,218288207.1,total,aggm
AT,09/04/2020,181347550.1,total,aggm
AT,10/04/2020,147005455.6,total,aggm
AT,11/04/2020,131409679.3,total,aggm
AT,12/04/2020,129229093.9,total,aggm
AT,13/04/2020,222161455.3,total,aggm
AT,14/04/2020,264673692.7,total,aggm
AT,15/04/2020,206614761.5,total,aggm
AT,16/04/2020,179634570.7,total,aggm
AT,17/04/2020,164987119.5,total,aggm
AT,18/04/2020,163636722.4,total,aggm
AT,19/04/2020,222225775.6,total,aggm
AT,20/04/2020,201636122.8,total,aggm
AT,21/04/2020,208837794.8,total,aggm
AT,22/04/2020,193023618.3,total,aggm
AT,23/04/2020,177304583.6,total,aggm
AT,24/04/2020,154004274.4,total,aggm
AT,25/04/2020,158275807.6,total,aggm
AT,26/04/2020,185001040.4,total,aggm
AT,27/04/2020,169314396.6,total,aggm
AT,28/04/2020,185452661.4,total,aggm
AT,29/04/2020,168603936.4,total,aggm
AT,30/04/2020,143787569.7,total,aggm
AT,01/05/2020,140537270.6,total,aggm
AT,02/05/2020,152415448,total,aggm
AT,03/05/2020,181831092.1,total,aggm
AT,04/05/2020,181302210.8,total,aggm
AT,05/05/2020,186287358.4,total,aggm
AT,06/05/2020,166427136.9,total,aggm
AT,07/05/2020,160691906.1,total,aggm
AT,08/05/2020,123268038,total,aggm
AT,09/05/2020,115953468.5,total,aggm
AT,10/05/2020,140229378.6,total,aggm
AT,11/05/2020,178082422.3,total,aggm
AT,12/05/2020,179121020.1,total,aggm
AT,13/05/2020,177282174.3,total,aggm
AT,14/05/2020,186721169.5,total,aggm
AT,15/05/2020,153224323.1,total,aggm
AT,16/05/2020,132781588.6,total,aggm
AT,17/05/2020,158346189.5,total,aggm
AT,18/05/2020,163099819.5,total,aggm
AT,19/05/2020,133791472.4,total,aggm
AT,20/05/2020,117626455.7,total,aggm
AT,21/05/2020,122540607.7,total,aggm
AT,22/05/2020,114721253.8,total,aggm
AT,23/05/2020,127301936.7,total,aggm
AT,24/05/2020,162870706.7,total,aggm
AT,25/05/2020,172652780.6,total,aggm
AT,26/05/2020,162268755,total,aggm
AT,27/05/2020,171552397.6,total,aggm
AT,28/05/2020,164461397.5,total,aggm
AT,29/05/2020,142990609.2,total,aggm
AT,30/05/2020,145957583.6,total,aggm
AT,31/05/2020,138724297.7,total,aggm
AT,01/06/2020,158864280.4,total,aggm
AT,02/06/2020,174159853.1,total,aggm
AT,03/06/2020,135558245.3,total,aggm
AT,04/06/2020,148824146.9,total,aggm
AT,05/06/2020,109687567.4,total,aggm
AT,06/06/2020,103337809.5,total,aggm
AT,07/06/2020,130890766.3,total,aggm
AT,08/06/2020,142712513.8,total,aggm
AT,09/06/2020,145336045.2,total,aggm
AT,10/06/2020,112556559.5,total,aggm
AT,11/06/2020,107908848.1,total,aggm
AT,12/06/2020,93727352.25,total,aggm
AT,13/06/2020,97745578.56,total,aggm
AT,14/06/2020,129353644.9,total,aggm
AT,15/06/2020,132453428.1,total,aggm
AT,16/06/2020,137711552,total,aggm
AT,17/06/2020,126670205.8,total,aggm
AT,18/06/2020,125879740.4,total,aggm
AT,19/06/2020,118985792.3,total,aggm
AT,20/06/2020,119419032,total,aggm
AT,21/06/2020,134489894.4,total,aggm
AT,22/06/2020,130548609.7,total,aggm
AT,23/06/2020,144138926.1,total,aggm
AT,24/06/2020,136424201.4,total,aggm
AT,25/06/2020,125120215.3,total,aggm
AT,26/06/2020,105195715.2,total,aggm
AT,27/06/2020,103566188.7,total,aggm
AT,28/06/2020,136544995.7,total,aggm
AT,29/06/2020,127904882.3,total,aggm
AT,30/06/2020,137686830,total,aggm
AT,01/07/2020,152406505.5,total,aggm
AT,02/07/2020,135667302.4,total,aggm
AT,03/07/2020,101107027.9,total,aggm
AT,04/07/2020,97133647.21,total,aggm
AT,05/07/2020,148896559.6,total,aggm
AT,06/07/2020,140690494,total,aggm
AT,07/07/2020,165548386.2,total,aggm
AT,08/07/2020,179014418.4,total,aggm
AT,09/07/2020,139432592.8,total,aggm
AT,10/07/2020,118561879.2,total,aggm
AT,11/07/2020,114764282.9,total,aggm
AT,12/07/2020,142942046.1,total,aggm
AT,13/07/2020,149539418,total,aggm
AT,14/07/2020,159846902.4,total,aggm
AT,15/07/2020,154756748.2,total,aggm
AT,16/07/2020,134455056.9,total,aggm
AT,17/07/2020,118338997.2,total,aggm
AT,18/07/2020,117553860.9,total,aggm
AT,19/07/2020,138967897.5,total,aggm
AT,20/07/2020,149859665,total,aggm
AT,21/07/2020,170396321.6,total,aggm
AT,22/07/2020,170466483.3,total,aggm
AT,23/07/2020,148616387.8,total,aggm
AT,24/07/2020,117577362.6,total,aggm
AT,25/07/2020,99617640.71,total,aggm
AT,26/07/2020,121842008.6,total,aggm
AT,27/07/2020,129056879.1,total,aggm
AT,28/07/2020,130813189.8,total,aggm
AT,29/07/2020,135252129.4,total,aggm
AT,30/07/2020,118977346.6,total,aggm
AT,31/07/2020,98641841.94,total,aggm
AT,01/08/2020,98519947.5,total,aggm
AT,02/08/2020,121404207,total,aggm
AT,03/08/2020,128147170.9,total,aggm
AT,04/08/2020,130473148.3,total,aggm
AT,05/08/2020,129882167.8,total,aggm
AT,06/08/2020,130747101,total,aggm
AT,07/08/2020,106760937,total,aggm
AT,08/08/2020,105819488.2,total,aggm
AT,09/08/2020,132656363,total,aggm
AT,10/08/2020,148847472.3,total,aggm
AT,11/08/2020,142208276.1,total,aggm
AT,12/08/2020,126912323.3,total,aggm
AT,13/08/2020,130348584.1,total,aggm
AT,14/08/2020,114029475.9,total,aggm
AT,15/08/2020,116242396.6,total,aggm
AT,16/08/2020,148336140,total,aggm
AT,17/08/2020,163681447.1,total,aggm
AT,18/08/2020,144269083.5,total,aggm
AT,19/08/2020,148386894.9,total,aggm
AT,20/08/2020,138082004.5,total,aggm
AT,21/08/2020,122112933.9,total,aggm
AT,22/08/2020,107146048.3,total,aggm
AT,23/08/2020,153265724.9,total,aggm
AT,24/08/2020,151055052.3,total,aggm
AT,25/08/2020,149279193,total,aggm
AT,26/08/2020,156307061,total,aggm
AT,27/08/2020,140177987.7,total,aggm
AT,28/08/2020,125904087.2,total,aggm
AT,29/08/2020,124706116.1,total,aggm
AT,30/08/2020,151910228.9,total,aggm
AT,31/08/2020,166920503.1,total,aggm
AT,01/09/2020,163060142.8,total,aggm
AT,02/09/2020,157085870.2,total,aggm
AT,03/09/2020,145124061.5,total,aggm
AT,04/09/2020,124408464.3,total,aggm
AT,05/09/2020,125723091.3,total,aggm
AT,06/09/2020,152652464.3,total,aggm
AT,07/09/2020,157929653.6,total,aggm
AT,08/09/2020,148538077.5,total,aggm
AT,09/09/2020,150951026.7,total,aggm
AT,10/09/2020,139752791.4,total,aggm
AT,11/09/2020,125832987.6,total,aggm
AT,12/09/2020,126248974.5,total,aggm
AT,13/09/2020,151075346.8,total,aggm
AT,14/09/2020,158933586.2,total,aggm
AT,15/09/2020,199202788,total,aggm
AT,16/09/2020,172808905.7,total,aggm
AT,17/09/2020,159427982.5,total,aggm
AT,18/09/2020,147630120.5,total,aggm
AT,19/09/2020,134442121.9,total,aggm
AT,20/09/2020,153338372.2,total,aggm
AT,21/09/2020,148724135.4,total,aggm
AT,22/09/2020,181951285.5,total,aggm
AT,23/09/2020,192476723,total,aggm
AT,24/09/2020,164333753.6,total,aggm
AT,25/09/2020,172294879.5,total,aggm
AT,26/09/2020,166109446.1,total,aggm
AT,27/09/2020,207615215.1,total,aggm
AT,28/09/2020,211612890.8,total,aggm
AT,29/09/2020,210912161.2,total,aggm
AT,30/09/2020,223754371.4,total,aggm
AT,01/10/2020,208115809.8,total,aggm
AT,02/10/2020,157806468.2,total,aggm
AT,03/10/2020,151837864.4,total,aggm
AT,04/10/2020,225921267.7,total,aggm
AT,05/10/2020,235085874.8,total,aggm
AT,06/10/2020,242016287.1,total,aggm
AT,07/10/2020,233088729.7,total,aggm
AT,08/10/2020,235536785.9,total,aggm
AT,09/10/2020,198792911.9,total,aggm
